Distance to walk: 20, step length: 1
0: (x,y) = (0.207912, -0.978148)
1: (x,y) = (-3.60822e-16, -1.9563)
2: (x,y) = (0.731354, -1.2743)
3: (x,y) = (1.42601, -1.99364)
4: (x,y) = (0.428448, -2.06339)
5: (x,y) = (0.819179, -1.14289)
6: (x,y) = (1.81674, -1.07313)
7: (x,y) = (1.59179, -2.0475)
8: (x,y) = (2.26092, -1.30436)
9: (x,y) = (2.24347, -2.3042)
10: (x,y) = (2.3999, -3.29189)
11: (x,y) = (3.00172, -2.49326)
12: (x,y) = (2.03142, -2.73518)
13: (x,y) = (1.33677, -2.01584)
14: (x,y) = (1.64578, -2.9669)
15: (x,y) = (0.655515, -2.82772)
16: (x,y) = (1.53846, -2.35825)
17: (x,y) = (1.67764, -1.36798)
18: (x,y) = (2.62315, -1.04242)
19: (x,y) = (3.56867, -1.36798)
20: (x,y) = (4.41672, -1.8979)
21: (x,y) = (4.02599, -0.977398)
22: (x,y) = (4.82462, -1.57921)
23: (x,y) = (5.13364, -2.53027)
24: (x,y) = (5.80277, -3.27341)
25: (x,y) = (6.67739, -2.7886)
26: (x,y) = (6.17739, -1.92258)
27: (x,y) = (6.43621, -2.88851)
28: (x,y) = (6.69503, -3.85443)
29: (x,y) = (7.52407, -3.29524)
30: (x,y) = (6.52787, -3.38239)
31: (x,y) = (6.93461, -2.46885)
32: (x,y) = (6.12559, -1.88106)
33: (x,y) = (6.3335, -0.902915)
34: (x,y) = (5.87951, -0.0119088)
35: (x,y) = (6.64556, 0.630879)
36: (x,y) = (7.49361, 1.1608)
37: (x,y) = (6.7389, 1.81686)
38: (x,y) = (7.65244, 2.22359)
39: (x,y) = (6.76949, 2.69307)
40: (x,y) = (6.56158, 3.67121)
41: (x,y) = (7.5071, 3.99678)
42: (x,y) = (6.83797, 3.25364)
43: (x,y) = (6.63006, 2.27549)
44: (x,y) = (7.62458, 2.38002)
45: (x,y) = (8.24024, 1.59201)
46: (x,y) = (7.83351, 0.678461)
47: (x,y) = (8.75401, 1.06919)
48: (x,y) = (9.71994, 1.32801)
49: (x,y) = (8.95389, 1.9708)
50: (x,y) = (9.93552, 2.16161)
51: (x,y) = (8.99583, 1.81959)
52: (x,y) = (8.21868, 1.19027)
53: (x,y) = (7.47554, 0.521136)
54: (x,y) = (6.48785, 0.677571)
55: (x,y) = (5.58154, 0.254953)
56: (x,y) = (6.28865, -0.452154)
57: (x,y) = (5.86603, -1.35846)
58: (x,y) = (6.12485, -2.32439)
59: (x,y) = (7.09922, -2.54934)
60: (x,y) = (8.0328, -2.19097)
61: (x,y) = (8.78751, -1.53491)
62: (x,y) = (8.73517, -2.53354)
63: (x,y) = (8.36057, -3.46073)
64: (x,y) = (7.47762, -3.9302)
65: (x,y) = (6.75828, -4.62486)
66: (x,y) = (7.40107, -5.3909)
67: (x,y) = (6.7854, -4.60289)
68: (x,y) = (7.77993, -4.70742)
69: (x,y) = (6.96077, -5.28099)
70: (x,y) = (7.89435, -4.92263)
71: (x,y) = (7.96411, -3.92506)
72: (x,y) = (8.53769, -3.10591)
73: (x,y) = (9.38574, -2.57599)
74: (x,y) = (9.47289, -3.57219)
75: (x,y) = (10.4184, -3.24662)
76: (x,y) = (9.4979, -2.85589)
77: (x,y) = (8.66887, -3.41508)
78: (x,y) = (8.58171, -2.41888)
79: (x,y) = (8.98845, -1.50534)
80: (x,y) = (8.64643, -0.565646)
81: (x,y) = (8.2557, -1.48615)
82: (x,y) = (7.36469, -1.94014)
83: (x,y) = (6.74903, -2.72815)
84: (x,y) = (7.74766, -2.78049)
85: (x,y) = (8.39045, -2.01444)
86: (x,y) = (8.84444, -1.12344)
87: (x,y) = (8.63652, -0.145289)
88: (x,y) = (9.61467, -0.353201)
89: (x,y) = (9.4928, 0.639345)
90: (x,y) = (9.10207, -0.28116)
91: (x,y) = (9.42764, -1.22668)
92: (x,y) = (8.47658, -1.5357)
93: (x,y) = (9.24263, -0.892908)
94: (x,y) = (8.40396, -0.348269)
95: (x,y) = (9.27858, -0.833078)
96: (x,y) = (8.27995, -0.780742)
97: (x,y) = (8.055, 0.193628)
98: (x,y) = (7.34789, 0.900734)
99: (x,y) = (7.33044, 1.90058)
100: (x,y) = (8.30073, 2.1425)
101: (x,y) = (9.02007, 2.83716)
102: (x,y) = (9.71473, 2.11782)
103: (x,y) = (9.05867, 2.87253)
104: (x,y) = (9.85731, 2.27072)
105: (x,y) = (10.7909, 2.62909)
106: (x,y) = (10.261, 3.47713)
107: (x,y) = (9.88636, 4.40432)
108: (x,y) = (10.6524, 5.0471)
109: (x,y) = (9.81374, 4.50247)
110: (x,y) = (9.69187, 5.49501)
111: (x,y) = (8.7175, 5.71996)
112: (x,y) = (9.41216, 5.00062)
113: (x,y) = (9.91216, 4.1346)
114: (x,y) = (10.4857, 4.95375)
115: (x,y) = (10.2101, 3.99249)
116: (x,y) = (9.22241, 3.83605)
117: (x,y) = (8.45636, 4.47884)
118: (x,y) = (7.8407, 5.26685)
119: (x,y) = (7.48233, 4.33327)
120: (x,y) = (7.05971, 3.42696)
121: (x,y) = (7.98022, 3.03623)
122: (x,y) = (7.05303, 3.41084)
123: (x,y) = (7.07049, 2.41099)
124: (x,y) = (6.17169, 1.97262)
125: (x,y) = (6.20659, 0.973229)
126: (x,y) = (6.34577, 1.9635)
127: (x,y) = (5.34577, 1.9635)
128: (x,y) = (6.31606, 1.72158)
129: (x,y) = (5.46801, 2.25149)
130: (x,y) = (6.38852, 2.64223)
131: (x,y) = (7.35444, 2.90105)
132: (x,y) = (7.19801, 3.88873)
133: (x,y) = (6.4433, 3.23267)
134: (x,y) = (6.06869, 4.15986)
135: (x,y) = (6.99588, 4.53446)
136: (x,y) = (6.04482, 4.84348)
137: (x,y) = (7.03934, 4.73895)
138: (x,y) = (7.97904, 5.08097)
139: (x,y) = (7.85717, 6.07352)
140: (x,y) = (6.8828, 6.29847)
141: (x,y) = (7.32117, 7.19726)
142: (x,y) = (6.62651, 7.9166)
143: (x,y) = (5.7202, 7.49399)
144: (x,y) = (4.76914, 7.803)
145: (x,y) = (3.7693, 7.82046)
146: (x,y) = (3.29982, 6.93751)
147: (x,y) = (3.10902, 5.95588)
148: (x,y) = (3.57849, 5.07293)
149: (x,y) = (4.07849, 5.93896)
150: (x,y) = (3.64012, 6.83775)
151: (x,y) = (2.92078, 6.14309)
152: (x,y) = (2.74713, 7.1279)
153: (x,y) = (2.078, 6.38476)
154: (x,y) = (3.05237, 6.15981)
155: (x,y) = (3.78372, 5.47781)
156: (x,y) = (3.64455, 4.48754)
157: (x,y) = (4.55086, 4.91016)
158: (x,y) = (5.20692, 4.15545)
159: (x,y) = (5.86297, 4.91016)
160: (x,y) = (4.94943, 4.50342)
161: (x,y) = (5.94395, 4.60795)
162: (x,y) = (4.99843, 4.28238)
163: (x,y) = (4.01362, 4.10873)
164: (x,y) = (4.94081, 3.73413)
165: (x,y) = (5.90207, 4.00976)
166: (x,y) = (6.24409, 4.94946)
167: (x,y) = (6.15693, 3.95326)
168: (x,y) = (5.25063, 4.37588)
169: (x,y) = (4.97499, 3.41462)
170: (x,y) = (5.94528, 3.65654)
171: (x,y) = (5.73737, 4.63469)
172: (x,y) = (6.14411, 5.54823)
173: (x,y) = (6.99216, 6.07815)
174: (x,y) = (6.80135, 7.05978)
175: (x,y) = (6.6277, 8.04459)
176: (x,y) = (5.64955, 8.2525)
177: (x,y) = (6.46871, 8.82608)
178: (x,y) = (5.47114, 8.89583)
179: (x,y) = (4.78914, 9.62719)
180: (x,y) = (5.04796, 8.66126)
181: (x,y) = (4.36596, 7.92991)
182: (x,y) = (3.79239, 8.74906)
183: (x,y) = (4.75831, 8.49024)
184: (x,y) = (4.96622, 7.51209)
185: (x,y) = (5.48126, 8.36926)
186: (x,y) = (4.72655, 7.7132)
187: (x,y) = (5.21136, 6.83858)
188: (x,y) = (5.6181, 5.92504)
189: (x,y) = (4.78906, 6.48423)
190: (x,y) = (5.78358, 6.3797)
191: (x,y) = (5.34521, 5.48091)
192: (x,y) = (4.61386, 4.79891)
193: (x,y) = (5.60838, 4.90344)
194: (x,y) = (6.5539, 4.57787)
195: (x,y) = (7.02337, 5.46082)
196: (x,y) = (6.02352, 5.47827)
197: (x,y) = (6.00607, 4.47842)
198: (x,y) = (6.1106, 5.47294)
199: (x,y) = (6.6106, 4.60692)
200: (x,y) = (7.04897, 5.50571)
201: (x,y) = (8.04152, 5.38384)
202: (x,y) = (8.73617, 4.6645)
203: (x,y) = (8.49425, 5.6348)
204: (x,y) = (8.78662, 6.5911)
205: (x,y) = (8.22743, 7.42014)
206: (x,y) = (7.33643, 6.96615)
207: (x,y) = (6.37516, 7.24179)
208: (x,y) = (7.2042, 7.80098)
209: (x,y) = (8.18583, 7.61017)
210: (x,y) = (7.24031, 7.93574)
211: (x,y) = (7.64705, 7.02219)
212: (x,y) = (6.67675, 7.26411)
213: (x,y) = (6.41793, 8.23004)
214: (x,y) = (5.96394, 7.33903)
215: (x,y) = (6.10311, 6.34877)
216: (x,y) = (6.63303, 5.50072)
217: (x,y) = (7.22082, 6.30973)
218: (x,y) = (7.44577, 7.2841)
219: (x,y) = (7.89976, 6.3931)
220: (x,y) = (8.52908, 5.61595)
221: (x,y) = (7.54139, 5.77239)
222: (x,y) = (8.04139, 6.63841)
223: (x,y) = (9.02302, 6.82922)
224: (x,y) = (9.92181, 7.26759)
225: (x,y) = (10.7308, 7.85538)
226: (x,y) = (11.3326, 7.05674)
227: (x,y) = (12.2986, 6.79792)
228: (x,y) = (11.8918, 5.88438)
